id;pseudo;mot_de_passe;date_inscription;est_administrateur
1;frantically;rudely;2024-11-24T15:23:09;true
2;innocently throughout unto;yuck follower;2024-11-24T22:53:55;true
3;substantial;brr;2024-11-24T21:34:06;false
4;gosh;potable why yawningly;2024-11-25T11:32:02;false
5;warmly;oh;2024-11-25T09:57:42;false
6;cake redress;on;2024-11-25T08:48:55;true
7;inasmuch;accidentally unless;2024-11-25T04:07:31;false
8;gee;yuck sense;2024-11-25T02:41:02;false
9;very likewise;anti unlike;2024-11-25T05:15:15;false
10;um;annual quintuple cannon;2024-11-24T15:27:54;false
